year_num,crop,msp_per_quintal
2001,Arhar/Tur,1500
2002,Arhar/Tur,1520
2003,Arhar/Tur,1540
2004,Arhar/Tur,1570
2005,Arhar/Tur,1600
2006,Arhar/Tur,1700
2007,Arhar/Tur,2000
2008,Arhar/Tur,2200
2009,Arhar/Tur,2300
2010,Arhar/Tur,2525
2011,Arhar/Tur,3000
2012,Arhar/Tur,3200
2013,Arhar/Tur,4300
2014,Arhar/Tur,4625
2015,Arhar/Tur,5050
2016,Arhar/Tur,5450
2017,Arhar/Tur,5675
2018,Arhar/Tur,5675
2019,Arhar/Tur,5800
2001,Bajra,540
2002,Bajra,560
2003,Bajra,570
2004,Bajra,580
2005,Bajra,600
2006,Bajra,620
2007,Bajra,640
2008,Bajra,700
2009,Bajra,840
2010,Bajra,900
2011,Bajra,960
2012,Bajra,1175
2013,Bajra,1250
2014,Bajra,1330
2015,Bajra,1410
2016,Bajra,1525
2017,Bajra,1735
2018,Bajra,1950
2019,Bajra,2000
2001,Cotton(lint),1800
2002,Cotton(lint),1850
2003,Cotton(lint),1900
2004,Cotton(lint),1950
2005,Cotton(lint),2000
2006,Cotton(lint),2100
2007,Cotton(lint),2500
2008,Cotton(lint),3000
2009,Cotton(lint),3500
2010,Cotton(lint),4000
2011,Cotton(lint),4500
2012,Cotton(lint),4500
2013,Cotton(lint),4500
2014,Cotton(lint),4500
2015,Cotton(lint),5150
2016,Cotton(lint),5825
2017,Cotton(lint),6080
2018,Cotton(lint),6080
2019,Cotton(lint),6000
2001,Gram,1000
2002,Gram,1040
2003,Gram,1060
2004,Gram,1080
2005,Gram,1100
2006,Gram,1200
2007,Gram,1600
2008,Gram,1730
2009,Gram,2100
2010,Gram,2500
2011,Gram,2800
2012,Gram,3175
2013,Gram,3425
2014,Gram,3600
2015,Gram,3800
2016,Gram,4620
2017,Gram,4620
2018,Gram,4620
2019,Gram,4875
2001,Groundnut,1100
2002,Groundnut,1170
2003,Groundnut,1200
2004,Groundnut,1250
2005,Groundnut,1300
2006,Groundnut,1520
2007,Groundnut,1700
2008,Groundnut,2100
2009,Groundnut,2500
2010,Groundnut,2900
2011,Groundnut,3200
2012,Groundnut,3700
2013,Groundnut,4000
2014,Groundnut,4500
2015,Groundnut,4500
2016,Groundnut,5000
2017,Groundnut,5550
2018,Groundnut,5550
2019,Groundnut,5550
2001,Jowar,445
2002,Jowar,450
2003,Jowar,460
2004,Jowar,470
2005,Jowar,480
2006,Jowar,500
2007,Jowar,540
2008,Jowar,600
2009,Jowar,840
2010,Jowar,900
2011,Jowar,980
2012,Jowar,1520
2013,Jowar,1530
2014,Jowar,1570
2015,Jowar,1625
2016,Jowar,2025
2017,Jowar,2430
2018,Jowar,2430
2019,Jowar,2550
2001,Maize,460
2002,Maize,465
2003,Maize,470
2004,Maize,480
2005,Maize,490
2006,Maize,540
2007,Maize,620
2008,Maize,800
2009,Maize,840
2010,Maize,1175
2011,Maize,1280
2012,Maize,1310
2013,Maize,1310
2014,Maize,1250
2015,Maize,1325
2016,Maize,1525
2017,Maize,1700
2018,Maize,1700
2019,Maize,1760
2001,Rice,560
2002,Rice,570
2003,Rice,580
2004,Rice,590
2005,Rice,600
2006,Rice,620
2007,Rice,645
2008,Rice,745
2009,Rice,900
2010,Rice,1000
2011,Rice,1080
2012,Rice,1250
2013,Rice,1310
2014,Rice,1360
2015,Rice,1410
2016,Rice,1470
2017,Rice,1550
2018,Rice,1750
2019,Rice,1815
2001,Soyabean,680
2002,Soyabean,700
2003,Soyabean,720
2004,Soyabean,750
2005,Soyabean,780
2006,Soyabean,830
2007,Soyabean,1000
2008,Soyabean,1390
2009,Soyabean,1440
2010,Soyabean,1650
2011,Soyabean,1700
2012,Soyabean,2500
2013,Soyabean,2560
2014,Soyabean,2600
2015,Soyabean,2775
2016,Soyabean,3050
2017,Soyabean,3399
2018,Soyabean,3710
2019,Soyabean,3880
2001,Sugarcane,695
2002,Sugarcane,695
2003,Sugarcane,740
2004,Sugarcane,740
2005,Sugarcane,790
2006,Sugarcane,800
2007,Sugarcane,810
2008,Sugarcane,810
2009,Sugarcane,840
2010,Sugarcane,1290
2011,Sugarcane,1450
2012,Sugarcane,1450
2013,Sugarcane,2100
2014,Sugarcane,2200
2015,Sugarcane,2300
2016,Sugarcane,2550
2017,Sugarcane,2550
2018,Sugarcane,2550
2019,Sugarcane,2750
2001,Wheat,620
2002,Wheat,630
2003,Wheat,630
2004,Wheat,630
2005,Wheat,640
2006,Wheat,700
2007,Wheat,750
2008,Wheat,850
2009,Wheat,1000
2010,Wheat,1080
2011,Wheat,1100
2012,Wheat,1285
2013,Wheat,1350
2014,Wheat,1400
2015,Wheat,1450
2016,Wheat,1525
2017,Wheat,1625
2018,Wheat,1735
2019,Wheat,1840
