crop,soil_type,compatibility_score
Arhar/Tur,Black,0.8
Arhar/Tur,Red,0.65
Arhar/Tur,Laterite,0.3
Arhar/Tur,Mixed,0.62
Bajra,Black,0.7
Bajra,Red,0.8
Bajra,Laterite,0.4
Bajra,Mixed,0.68
Cotton(lint),Black,0.95
Cotton(lint),Red,0.45
Cotton(lint),Laterite,0.25
Cotton(lint),Mixed,0.6
Gram,Black,0.85
Gram,Red,0.5
Gram,Laterite,0.25
Gram,Mixed,0.6
Groundnut,Black,0.6
Groundnut,Red,0.85
Groundnut,Laterite,0.55
Groundnut,Mixed,0.68
Jowar,Black,0.85
Jowar,Red,0.65
Jowar,Laterite,0.35
Jowar,Mixed,0.7
Maize,Black,0.75
Maize,Red,0.7
Maize,Laterite,0.5
Maize,Mixed,0.72
Rice,Black,0.6
Rice,Red,0.7
Rice,Laterite,0.55
Rice,Mixed,0.7
Soyabean,Black,0.9
Soyabean,Red,0.55
Soyabean,Laterite,0.3
Soyabean,Mixed,0.65
Sugarcane,Black,0.8
Sugarcane,Red,0.6
Sugarcane,Laterite,0.4
Sugarcane,Mixed,0.7
Wheat,Black,0.85
Wheat,Red,0.5
Wheat,Laterite,0.25
Wheat,Mixed,0.65
