district,soil_type
AHMEDNAGAR,Black
AKOLA,Black
AMRAVATI,Black
AURANGABAD,Black
BEED,Black
BHANDARA,Red
BULDHANA,Black
CHANDRAPUR,Red
DHULE,Mixed
GADCHIROLI,Red
GONDIA,Red
HINGOLI,Black
JALGAON,Mixed
JALNA,Black
KOLHAPUR,Laterite
LATUR,Black
NAGPUR,Black
NANDED,Black
NANDURBAR,Mixed
NASHIK,Mixed
OSMANABAD,Black
PALGHAR,Laterite
PARBHANI,Black
PUNE,Mixed
RAIGAD,Laterite
RATNAGIRI,Laterite
SANGLI,Black
SATARA,Mixed
SINDHUDURG,Laterite
SOLAPUR,Black
THANE,Laterite
WARDHA,Black
WASHIM,Black
YAVATMAL,Black
MUMBAI,Laterite
MUMBAI SUBURBAN,Laterite
