state,district,crop,year,season,area_hectares,Area Units,production_tonnes,Production Units,yield_kg_per_hectare,subdivision,year_num
Maharashtra,AHMEDNAGAR,Arhar/Tur,2001-02,Kharif,16700.0,Hectare,5400.0,Tonnes,323.3532934131736,Madhya Maharashtra,2001
Maharashtra,AHMEDNAGAR,Arhar/Tur,2002-03,Kharif,14600.0,Hectare,5700.0,Tonnes,390.4109589041096,Madhya Maharashtra,2002
Maharashtra,AHMEDNAGAR,Arhar/Tur,2003-04,Kharif,9000.0,Hectare,3000.0,Tonnes,333.3333333333333,Madhya Maharashtra,2003
Maharashtra,AKOLA,Arhar/Tur,2001-02,Kharif,46800.0,Hectare,41600.0,Tonnes,888.8888888888888,Vidarbha,2001
Maharashtra,AKOLA,Arhar/Tur,2002-03,Kharif,46500.0,Hectare,42100.0,Tonnes,905.3763440860216,Vidarbha,2002
Maharashtra,AKOLA,Arhar/Tur,2003-04,Kharif,51000.0,Hectare,43500.0,Tonnes,852.9411764705882,Vidarbha,2003
Maharashtra,AMRAVATI,Arhar/Tur,2001-02,Kharif,95500.0,Hectare,83500.0,Tonnes,874.3455497382199,Vidarbha,2001
Maharashtra,AMRAVATI,Arhar/Tur,2002-03,Kharif,93300.0,Hectare,88900.0,Tonnes,952.8403001071813,Vidarbha,2002
Maharashtra,AMRAVATI,Arhar/Tur,2003-04,Kharif,97500.0,Hectare,86300.0,Tonnes,885.1282051282051,Vidarbha,2003
Maharashtra,AURANGABAD,Arhar/Tur,2001-02,Kharif,32700.0,Hectare,9100.0,Tonnes,278.2874617737003,Matathwada,2001
Maharashtra,AURANGABAD,Arhar/Tur,2002-03,Kharif,40000.0,Hectare,11600.0,Tonnes,290.0,Matathwada,2002
Maharashtra,AURANGABAD,Arhar/Tur,2003-04,Kharif,38000.0,Hectare,13400.0,Tonnes,352.6315789473684,Matathwada,2003
Maharashtra,BEED,Arhar/Tur,2001-02,Kharif,44300.0,Hectare,11200.0,Tonnes,252.82167042889392,Matathwada,2001
Maharashtra,BEED,Arhar/Tur,2002-03,Kharif,49100.0,Hectare,17200.0,Tonnes,350.30549898167004,Matathwada,2002
Maharashtra,BEED,Arhar/Tur,2003-04,Kharif,44900.0,Hectare,10100.0,Tonnes,224.9443207126948,Matathwada,2003
Maharashtra,BHANDARA,Arhar/Tur,2001-02,Kharif,5700.0,Hectare,6100.0,Tonnes,1070.1754385964912,Vidarbha,2001
Maharashtra,BHANDARA,Arhar/Tur,2002-03,Kharif,7100.0,Hectare,6300.0,Tonnes,887.3239436619718,Vidarbha,2002
Maharashtra,BHANDARA,Arhar/Tur,2003-04,Kharif,7300.0,Hectare,6900.0,Tonnes,945.2054794520548,Vidarbha,2003
Maharashtra,BULDHANA,Arhar/Tur,2001-02,Kharif,58300.0,Hectare,39200.0,Tonnes,672.3842195540308,Vidarbha,2001
Maharashtra,BULDHANA,Arhar/Tur,2002-03,Kharif,57400.0,Hectare,40900.0,Tonnes,712.5435540069686,Vidarbha,2002
Maharashtra,BULDHANA,Arhar/Tur,2003-04,Kharif,59500.0,Hectare,41400.0,Tonnes,695.7983193277311,Vidarbha,2003
Maharashtra,CHANDRAPUR,Arhar/Tur,2001-02,Kharif,27400.0,Hectare,21700.0,Tonnes,791.970802919708,Vidarbha,2001
Maharashtra,CHANDRAPUR,Arhar/Tur,2002-03,Kharif,26800.0,Hectare,9100.0,Tonnes,339.5522388059701,Vidarbha,2002
Maharashtra,CHANDRAPUR,Arhar/Tur,2003-04,Kharif,26400.0,Hectare,17400.0,Tonnes,659.090909090909,Vidarbha,2003
Maharashtra,DHULE,Arhar/Tur,2001-02,Kharif,7300.0,Hectare,1700.0,Tonnes,232.8767123287671,Madhya Maharashtra,2001
Maharashtra,DHULE,Arhar/Tur,2002-03,Kharif,9200.0,Hectare,2700.0,Tonnes,293.4782608695652,Madhya Maharashtra,2002
Maharashtra,DHULE,Arhar/Tur,2003-04,Kharif,9500.0,Hectare,3800.0,Tonnes,400.0,Madhya Maharashtra,2003
Maharashtra,GADCHIROLI,Arhar/Tur,2001-02,Kharif,1500.0,Hectare,1600.0,Tonnes,1066.666666666667,Vidarbha,2001
Maharashtra,GADCHIROLI,Arhar/Tur,2002-03,Kharif,1700.0,Hectare,1500.0,Tonnes,882.3529411764706,Vidarbha,2002
Maharashtra,GADCHIROLI,Arhar/Tur,2003-04,Kharif,2300.0,Hectare,2200.0,Tonnes,956.5217391304349,Vidarbha,2003
Maharashtra,GONDIA,Arhar/Tur,2001-02,Kharif,4000.0,Hectare,4300.0,Tonnes,1075.0,Vidarbha,2001
Maharashtra,GONDIA,Arhar/Tur,2002-03,Kharif,4100.0,Hectare,3600.0,Tonnes,878.0487804878048,Vidarbha,2002
Maharashtra,GONDIA,Arhar/Tur,2003-04,Kharif,4400.0,Hectare,4200.0,Tonnes,954.5454545454546,Vidarbha,2003
Maharashtra,HINGOLI,Arhar/Tur,2001-02,Kharif,24700.0,Hectare,19200.0,Tonnes,777.3279352226721,Matathwada,2001
Maharashtra,HINGOLI,Arhar/Tur,2002-03,Kharif,27000.0,Hectare,18400.0,Tonnes,681.4814814814814,Matathwada,2002
Maharashtra,HINGOLI,Arhar/Tur,2003-04,Kharif,25500.0,Hectare,22500.0,Tonnes,882.3529411764706,Matathwada,2003
Maharashtra,JALGAON,Arhar/Tur,2001-02,Kharif,28400.0,Hectare,18000.0,Tonnes,633.8028169014085,Madhya Maharashtra,2001
Maharashtra,JALGAON,Arhar/Tur,2002-03,Kharif,24900.0,Hectare,18200.0,Tonnes,730.9236947791164,Madhya Maharashtra,2002
Maharashtra,JALGAON,Arhar/Tur,2003-04,Kharif,25800.0,Hectare,18300.0,Tonnes,709.3023255813954,Madhya Maharashtra,2003
Maharashtra,JALNA,Arhar/Tur,2001-02,Kharif,42100.0,Hectare,23400.0,Tonnes,555.8194774346792,Matathwada,2001
Maharashtra,JALNA,Arhar/Tur,2002-03,Kharif,48000.0,Hectare,30300.0,Tonnes,631.25,Matathwada,2002
Maharashtra,JALNA,Arhar/Tur,2003-04,Kharif,47900.0,Hectare,19100.0,Tonnes,398.7473903966597,Matathwada,2003
Maharashtra,KOLHAPUR,Arhar/Tur,2001-02,Kharif,2400.0,Hectare,800.0,Tonnes,333.3333333333333,Madhya Maharashtra,2001
Maharashtra,KOLHAPUR,Arhar/Tur,2002-03,Kharif,2600.0,Hectare,1000.0,Tonnes,384.6153846153846,Madhya Maharashtra,2002
Maharashtra,KOLHAPUR,Arhar/Tur,2003-04,Kharif,2800.0,Hectare,800.0,Tonnes,285.7142857142857,Madhya Maharashtra,2003
Maharashtra,LATUR,Arhar/Tur,2001-02,Kharif,72800.0,Hectare,48900.0,Tonnes,671.7032967032967,Matathwada,2001
Maharashtra,LATUR,Arhar/Tur,2002-03,Kharif,71000.0,Hectare,44100.0,Tonnes,621.1267605633802,Matathwada,2002
Maharashtra,LATUR,Arhar/Tur,2003-04,Kharif,70800.0,Hectare,45200.0,Tonnes,638.4180790960452,Matathwada,2003
Maharashtra,NAGPUR,Arhar/Tur,2001-02,Kharif,50600.0,Hectare,56300.0,Tonnes,1112.6482213438735,Vidarbha,2001
Maharashtra,NAGPUR,Arhar/Tur,2002-03,Kharif,50000.0,Hectare,26700.0,Tonnes,534.0,Vidarbha,2002
Maharashtra,NAGPUR,Arhar/Tur,2003-04,Kharif,51100.0,Hectare,32300.0,Tonnes,632.0939334637965,Vidarbha,2003
Maharashtra,NANDED,Arhar/Tur,2001-02,Kharif,52300.0,Hectare,39900.0,Tonnes,762.906309751434,Matathwada,2001
Maharashtra,NANDED,Arhar/Tur,2002-03,Kharif,54900.0,Hectare,55400.0,Tonnes,1009.1074681238616,Matathwada,2002
Maharashtra,NANDED,Arhar/Tur,2003-04,Kharif,55800.0,Hectare,44600.0,Tonnes,799.2831541218638,Matathwada,2003
Maharashtra,NANDURBAR,Arhar/Tur,2001-02,Kharif,23600.0,Hectare,7300.0,Tonnes,309.3220338983051,Madhya Maharashtra,2001
Maharashtra,NANDURBAR,Arhar/Tur,2002-03,Kharif,23100.0,Hectare,6300.0,Tonnes,272.7272727272727,Madhya Maharashtra,2002
Maharashtra,NANDURBAR,Arhar/Tur,2003-04,Kharif,23400.0,Hectare,7900.0,Tonnes,337.6068376068376,Madhya Maharashtra,2003
Maharashtra,NASHIK,Arhar/Tur,2001-02,Kharif,8900.0,Hectare,3800.0,Tonnes,426.9662921348314,Madhya Maharashtra,2001
Maharashtra,NASHIK,Arhar/Tur,2002-03,Kharif,9000.0,Hectare,6800.0,Tonnes,755.5555555555555,Madhya Maharashtra,2002
Maharashtra,NASHIK,Arhar/Tur,2003-04,Kharif,8500.0,Hectare,3500.0,Tonnes,411.7647058823529,Madhya Maharashtra,2003
Maharashtra,OSMANABAD,Arhar/Tur,2001-02,Kharif,68100.0,Hectare,35100.0,Tonnes,515.4185022026431,Matathwada,2001
Maharashtra,OSMANABAD,Arhar/Tur,2002-03,Kharif,81500.0,Hectare,44100.0,Tonnes,541.1042944785275,Matathwada,2002
Maharashtra,PARBHANI,Arhar/Tur,2001-02,Kharif,52700.0,Hectare,28500.0,Tonnes,540.796963946869,Matathwada,2001
Maharashtra,PARBHANI,Arhar/Tur,2002-03,Kharif,56600.0,Hectare,33400.0,Tonnes,590.1060070671377,Matathwada,2002
Maharashtra,PARBHANI,Arhar/Tur,2003-04,Kharif,57900.0,Hectare,26500.0,Tonnes,457.68566493955086,Matathwada,2003
Maharashtra,PUNE,Arhar/Tur,2001-02,Kharif,4100.0,Hectare,2000.0,Tonnes,487.8048780487805,Madhya Maharashtra,2001
Maharashtra,PUNE,Arhar/Tur,2002-03,Kharif,3800.0,Hectare,1800.0,Tonnes,473.6842105263157,Madhya Maharashtra,2002
Maharashtra,PUNE,Arhar/Tur,2003-04,Kharif,3300.0,Hectare,2200.0,Tonnes,666.6666666666666,Madhya Maharashtra,2003
Maharashtra,RAIGAD,Arhar/Tur,2001-02,Kharif,1000.0,Hectare,400.0,Tonnes,400.0,Konkan & Goa,2001
Maharashtra,RAIGAD,Arhar/Tur,2002-03,Kharif,1000.0,Hectare,500.0,Tonnes,500.0,Konkan & Goa,2002
Maharashtra,RAIGAD,Arhar/Tur,2003-04,Kharif,1000.0,Hectare,500.0,Tonnes,500.0,Konkan & Goa,2003
Maharashtra,RATNAGIRI,Arhar/Tur,2001-02,Kharif,600.0,Hectare,300.0,Tonnes,500.0,Konkan & Goa,2001
Maharashtra,RATNAGIRI,Arhar/Tur,2002-03,Kharif,600.0,Hectare,300.0,Tonnes,500.0,Konkan & Goa,2002
Maharashtra,RATNAGIRI,Arhar/Tur,2003-04,Kharif,600.0,Hectare,300.0,Tonnes,500.0,Konkan & Goa,2003
Maharashtra,SANGLI,Arhar/Tur,2001-02,Kharif,9700.0,Hectare,3100.0,Tonnes,319.5876288659793,Madhya Maharashtra,2001
Maharashtra,SANGLI,Arhar/Tur,2002-03,Kharif,10700.0,Hectare,4100.0,Tonnes,383.17757009345786,Madhya Maharashtra,2002
Maharashtra,SANGLI,Arhar/Tur,2003-04,Kharif,5800.0,Hectare,1700.0,Tonnes,293.103448275862,Madhya Maharashtra,2003
Maharashtra,SATARA,Arhar/Tur,2001-02,Kharif,6500.0,Hectare,2100.0,Tonnes,323.0769230769231,Madhya Maharashtra,2001
Maharashtra,SATARA,Arhar/Tur,2002-03,Kharif,6700.0,Hectare,2600.0,Tonnes,388.05970149253733,Madhya Maharashtra,2002
